ID,Server,Channel,Content Length,Content
560648024704024599,r/teengamingnights,general,79,<@!198080094428856320> please don’t annex us_ I just finished building my house
560648209119051826,r/teengamingnights,general,4,Yeah
560648433837277225,r/teengamingnights,general,39,I’d rather be part of Africa_ not japan
560648503932616705,r/teengamingnights,general,14,Africa is free
560648648271200289,r/teengamingnights,general,46,I mean we’re not ruled by anyone but ourselves
560648676180099092,r/teengamingnights,general,34,And we would like to stay that way
560648707939500042,r/teengamingnights,general,23,We aren’t your play toy
560982226280644623,r/teengamingnights,reports,38,Would shooting flaming arrows be okay?
560983446311272457,r/teengamingnights,general,113,Nice to know you’re unapologetically a dipshit and have no empathy and that any further conversation is pointless
560984552898560089,r/teengamingnights,reports,23,Alright_ I took it down
560985093196349451,r/teengamingnights,reports,111,That’s a stupid rule though_ how else are players without god sets supposed to defend against players with them
560985772568608784,r/teengamingnights,reports,89,That’s good to hear_ at the moment towns like Africa and phubai are basically defenseless
560991366612647936,r/teengamingnights,general,24,<@197448730322927616> ❤️
561000166350520321,r/teengamingnights,general,8,Greggoo?
561001530216677386,r/teengamingnights,general,12,That’s weird
