ID,Channel,Content Length,Content
559021157173559296,off-topic,137,So it's not really worth the $7.5 an hour? I'm literally risking my life by walking to and from a drug-infested redneck part of the town.
559021395754090546,off-topic,65,I have to go see if my Dad can bring someone to work from Salem..
559022368685686795,off-topic,91,What I really need right now is the balls to quit my work and leave the place short-staffed
559022617294667776,off-topic,25,Just make a presentation.
559025156823973899,off-topic,56,I'm a positive influence.. Like I said_ I bust my butt..
559038567431667753,off-topic,22,https://prnt.sc/n1w8be
559038595394961409,off-topic,22,https://prnt.sc/n1w87c
559038612029833226,off-topic,22,These are my Jordan's.
559038692707139584,off-topic,1,😛
559038794075078676,off-topic,21,I've never worn vans.
559038801402658837,off-topic,14,cause they gay
559038804657176597,off-topic,58,https://image.prntscr.com/image/v3QQJwvQQ-Soyal8CKpByA.png
559038829823262730,off-topic,32,That outfit with those Jordan's.
559038860739346434,off-topic,15,Jordan's > Vans
559038906583089159,off-topic,6,no u r
559038913285455879,off-topic,7,fite me
559038923704238082,off-topic,8,rite now
559038958500052992,off-topic,14,*punches chin*
559038970114211870,off-topic,16,*knocks you out*
559038992063135764,off-topic,26,MOMMA SAID KNOCK YOU OUT!!
559039056583852033,off-topic,8,*dodges*
559039068718235677,off-topic,17,*brings out a 45*
559039081359736882,off-topic,12,*shoots cha*
559039100544614420,off-topic,13,*seven times*
559039185298784295,off-topic,4,Guys
559039310800617485,off-topic,163,I ordered $30 worth of food from Papa Johns yesterday. I had two $20s and a $50 in my wallet. I gave a $50 and a $20 to the driver. I thought I gave my two $20s. 😭
559039365633015811,off-topic,49,I accidentally gave a $40 tip instead of a $10. 😭
559039483362672670,off-topic,7,I'm 17.
559039495408975882,off-topic,18,He was an old man.
