ID,Channel,Content Length,Content
559036102770425856,buffet-line,20,GlAYDis WHErE iscOrN
559038233963659284,buffet-line,25,HOtw TO CHANGE NICKNAME]4
559038737686986753,buffet-line,16,Lol ThatS sADD 😆
559039143372521472,buffet-line,50,https://tenor.com/view/wtf-laugh-spit-gif-11806135
559039180940902402,buffet-line,27,OPPs FIDNT MaNT TO seND THt
559039212003786762,buffet-line,19,DICroND DELETE POST
559039292974956574,buffet-line,10,ORDER CORN
559039340894748673,buffet-line,15,WHSY AN I PEARL
559039455269224478,tv-technical-support,23,WHerE SI TECH SUOPPPORT
559039603256852520,buffet-line,18,ORDER COCUNYT OPIL
559040443594178571,buffet-line,3,LOL
559040467107446794,buffet-line,8,NBVBNM_.
559040516390387716,buffet-line,18,WHEare IS r\ID\DIT
559041043845349376,buffet-line,19,DOWNLoadMORERAM.cOm
