ID,Content Length,Content
560285413856641024,88,banh how do i do my presentation without messing up somehow <:jester:497625109721382912>
560285505992917022,27,<:aoBUP:553686774854189058>
560285691003535361,47,7-15 minutes +Q&A  <:jester:497625109721382912>
560285768149368833,56,im aiming for 5 minutes <:jesterdeep:525693081828196362>
560285812915306516,66,how drugs are forbidden knowledge <:jesterdeep:525693081828196362>
560285885049077760,27,<:hmmm2:541313158787104798>
560285931475697674,32,should i add a 2nd nixon picture
560286028703858718,72,actually nvm i dont have anywhere to put it <:sadcat:460535420640428032>
560286180156112906,199,the projector in the room that we're in tomorrow always messes up and the teacher gets frustrated and cancels class halfway through so i might just have to show it to him <:lemons:322459208731721738>
560286238708334602,49,pray for good rng <:slimecozy:559886429153525841>
560288428735070208,33,<:JesterParty:524335429340626947>
560608062142939147,66,omni stop looking at my screen <:jesterVerySad:526118041327763457>
560609617034346499,35,<:jesterVerySad:526118041327763457>
560609778594742274,39,<:slimechamp:427860522751229954> seeker
560620827977187368,18,omni go to sleep 😡
560621963970609167,34,<:slimechamp:427860522751229954> 🥔
560622074809548831,2,no
560622291835289600,1,😡
560624706290581514,42,<:slimechamp:427860522751229954> lowercase
560624716461637634,36,<:slimechamp:427860522751229954> kit
560624794882801675,61,<:slimechamp:427860522751229954> <a:DANCE:468181371744026624>
560625611043766303,2,ye
560629768404336660,58,the jokes match up then kit <:OMEGALUL:417496148589412373>
560630185360097311,21,nice paper plate banh
560632663178739713,63,<:slimechamp:427860522751229954> <:aquaSmug:354438294886416384>
560634640830955529,17,azyn get jacked 😡
560634964572372993,79,<a:crabRave:510169818893385729> dishes are gone <a:crabRave:510169818893385729>
560645411052847105,10,hey potato
560949307189231627,32,<:slimechamp:427860522751229954>
560950358931800084,34,wall <a:Donald:524745583836266506>
