ID,Content Length,Content
560609073137975317,36,the best weapon in minecraft is dirt
560609104859496448,2,XD
560609148924985385,3,oof
560609276674965506,51,which kind of update do you think will happen next?
560609421542031360,66,rumors say it might be the reworked combet update or a cave update
560609489410064394,7,mee too
560609688278794240,45,who here thinks the bats ned to get reworked?
560609779114967100,21,and add some new ores
560610000616292362,100,except the first one out of the two is the combat update because more things point in that direction
560610310537478154,56,which do you think is better?NLgold pick or diamond pick?
560652944819617802,17,waluigi for smash
