ID,Content Length,Content
560637219082076203,20,forge wont load mods
560637286132219934,43,i followed instructions and they wont load.
560637451463426050,3,yes
560637481960210464,12,forge 1.12.2
560637509206409216,25,wont load optifine 1.12.2
560637585693605888,24,it doesnt show up at all
560637614558937088,7,in game
560637746067144705,2,ik
560637813519941654,3,yes
560637921804156928,23,and i have 2 other mods
560637951722258442,20,work with 1.12.2 too
560637989139513344,28,and forge wont load them too
560638169549242368,3,yes
