ID,Content Length,Content
558806252382322728,8,Pls rich
558822777583566879,8,Pls rich
558822925847756816,24,Pls steal Winfred 3#2231
558822944407814144,15,Pls deposit all
558990978036269076,26,Pls profile Darthgavo#2326
558991061947514881,5,!rank
558991957553053706,8,Pls rich
558992260621008906,8,Pls rich
558992359711440906,29,Pls steal AzaryaYulian13#0082
558993338091438080,7,Pls rob
558993351303495690,8,Pls rich
558993663494193162,8,Pls rich
558993759396954133,22,Pls profile b0red#7418
558993805458800649,20,Pls steal b0red#7418
558995143085260802,22,Pls 8ball should I rob
558995205303566338,29,pls steal AzaryaYulian13#0082
558995254175334431,20,You lied to me 8ball
558995582740332544,35,Pls 8ball should Juilian gamble all
558995635664060426,26,Pls 8ball what about slots
558995718073876490,7,Pls rob
558995738923892747,7,Pls beg
558995750558760961,10,Pls search
558995775565070346,12,Pls use pink
558995801397919755,16,Julian Cruz#6021
558996127719096320,7,Pls rob
558996136959016965,8,Pls rich
558996413078568970,8,Pls rich
558996538144063508,21,Pls rob DylanDJG#6579
558996614954483742,7,Pls beg
558996643211378704,10,Pls search
559006033398464553,7,Pls bal
559006057528164362,16,Pls withdraw 500
559006161840635977,21,Pls rob DylanDJG#6579
559006305193426967,17,Pls withdraw 1500
559006336260636682,13,Pls slots 500
559006362709917736,14,Pls slots half
559006394326450193,15,Pls deposit all
559006431802687498,17,Pls withdraw 1000
559006455064428556,10,Join heist
559006525180477470,13,Watch us fail
559006580482506753,32,Pls 8ball will we win this heist
559006725655494676,4,Ooof
559006753459666962,6,I died
559006883873030175,43,Remember guys always backstab the other guy
559007089817681931,27,Greed Will get them nowhere
559007109899878415,16,Pls withdraw 500
559007116770148373,8,Pls rich
559007134658985984,7,Pls rob
559007232847511595,7,Pls beg
559007263520456704,10,Pls search
559007287075799051,7,Pls rob
559007348572684288,7,Pls rob
559007356902703125,8,Pls ricj
559007391811764224,14,Pls buy laptop
559007399676084225,1,Y
559007425127251968,12,Pls postmeme
559007431032569856,1,E
559007443544309781,8,Pls rich
559007505552900096,21,Pls rob DylanDJG#6579
559007522845884427,15,Pls deposit all
559007550230757386,8,Pls rich
559007893999976448,13,Pls slots all
559007910785449996,15,Pls deposit all
559007930649804810,7,Pls bal
559008793761939460,8,Pls rich
559008815912058880,16,Pls withdraw 500
559008885038645278,8,Pls rich
559008961345355778,24,Pls steal Luke_Shaw#4450
559009003389321216,7,Pls bal
559009029309988884,17,Pls wirjdraw 1500
559009101946814465,7,Pls beg
559009119965675532,10,Pls search
559009130967203841,7,Pls bal
559009154392391682,17,Pls withdraw 1000
559009194133422080,14,Pls slots half
559009211279736832,15,Pls deposit all
559009253801852933,16,Pls withdraw 500
559009369115590656,67,Remember fellows i know this bot alot more well then you think I do
559009661315973140,16,Pls withdraw 500
559009871987474455,7,Pls bal
559009971874824192,8,Pls rich
559010002904416257,7,Pls rob
559010365359521832,7,Pls bal
559010391070605315,17,Pls withdraw 2000
559010416953393192,14,Pls slots half
559010449035755550,13,Pls slots all
559010485987704833,17,Pls withdraw 1000
559010502274056193,14,Pls slots half
559010519827349524,8,Pls rich
559010685565141003,22,Pls profile JoE t#7427
559010703214772225,8,Pls rich
559010987357765654,8,Pls rich
559011076491051018,18,Pls rob JoE t#7427
559011600254631936,7,Pls inv
559011637797978174,15,Pls sell pink 5
559011657792356382,7,Pls inv
559011679795544075,8,Pls rich
559011693695336489,7,Pls rob
559011721839116289,7,Pls bal
559011747214655519,17,Pls wthere's 1000
559011804739797002,14,Pls slots half
559011830773841951,7,Pls bal
559011903440158732,17,Pls withdraw 1000
559011924142981120,8,Pls rich
559011977809100870,7,Pls rob
559012001683079208,8,Pols beg
559012021383856138,7,Pls beg
559012040354562057,10,Pls search
559012053453504557,7,Pls bal
559012072478998553,8,Pls rich
559012189214867496,12,Pls postmeme
559012202506616852,1,E
559012217178161194,7,Pls beg
559012237726187542,10,Pls search
559012254989680645,7,Pls rob
559012413249159168,7,Pls beg
559012474259505198,10,Pls search
559012495344402432,7,Pls bal
559012635928952833,8,Pls rich
559012743450198066,7,Pls bal
559012868553572370,8,Pls rich
559013178130956288,26,Pls profile Gamerkins#8876
560287683998515229,7,Pls beg
560287705401917452,12,Pls postmeme
560287726654717963,1,N
560287751522746371,8,Pls rich
560287777627832330,16,Pls withdraw 500
560287808720338944,21,Pls rob CornBlox#0975
560287863913054210,27,Pls use pink phallic Object
560287971753066497,10,Pls search
560288004724359189,4,Nice
560288064195526667,7,Pls bal
560288104716435467,17,Pls withdraw 1000
