ID,Content Length,Content
558428440349376532,95,<@!162041761114488833> There's a reason why Derpy_ Dan and I are not watching End game with you
558780773021515786,4,Glhf
558780806252724236,38,Don't get dragged down by bronze nerds
558781373154983946,2,Oh
558781497184878616,0,
558781532005859348,25,<:nut:414574028360253440>
558789018100301844,27,You know what else is hard?
558789653847605248,2,No
558789668401840149,9,You sicko
558789690141179934,29,<:fetdoge:386121911559782400>
558789710219051018,31,I was talking about my homework
558844225458929677,21,Pine and Dan smashing
558844238456946699,30,<a:MonkaSS:402530977370472458>
558845972269236224,29,<@162041761114488833> shut up
558856991397773322,9,new phone
558856996011507713,9,who this?
558857275553480705,38,<:presidentsleeper:417681254809468938>
559063335258030096,46,My roommate last year helped me beat my shmeat
559090474477027339,0,
559095001796313119,1,🖕
559097227298078720,13,shut up_ nerd
559101954593128458,4,Mods
559101964521177089,27,<:HAhaa:410094045130653706>
559102001561075745,63,someone advertising their pulls for MD in <#312039579127644161>
559102078958436364,20,With global role too
559102084088070156,30,<:WaitWhat:358691048937095170>
559107067399634964,70,https://tenor.com/view/jim-halpert-face-yeah-ok-then-sure-gif-10464204
559111185530617856,8,toxichil
560599261423599616,44,<a:rosefoundthecookiejar:414229812614266880>
560600412038889472,0,
560600422767919161,20,<@73193539491598336>
560600531777880074,36,YOUR IMOUTO IS WAITING_ MOTHERFUCKER
560600614351142913,52,Best be putting those hands up and not in your pants
560600659229933586,30,<a:MonkaSS:402530977370472458>
560600726200647705,76,No wonder your parents filed a restraining order between you and your sister
560600836623958017,73,I thought you weren't allowed within 500 feet between you and your sister
560600848854548510,27,<:HAhaa:356725480113700864>
560602067971080202,9,Share pls
560606600717533189,30,Don't even play that shit game
560607452907962369,8,I buy sq
560607464467464193,7,For fub
