ID,Channel,Content Length,Content
560602850816819210,commands,10,Pls rob Me
560602868877361163,commands,8,Pls rich
560602986779377684,commands,15,Pls rob Me#7594
560603024158883841,commands,2,I-
560628932639064075,commands,8,Pls rich
560628980127105085,commands,15,Pls rob Me#7594
560630193849630731,commands,15,Pls rob Me#7594
560630241228226561,commands,15,Pls rob Me#7594
560630266104774656,commands,3,Wow
560631516426665996,commands,15,Pls rob Me#7594
560631535288713217,commands,15,Pls deposit all
560631684777771009,commands,8,Pls rich
560631702154772493,commands,15,He’s still rich
560632824907038727,commands,7,Pls beg
560632862051663903,commands,8,Pls rich
560632881979064320,commands,8,Pls rich
560632941789577216,commands,23,Pls rob MineProDan#3484
560632979727187968,commands,2,I-
560632999868366858,commands,15,Pls deposit all
560636594776834052,commands,8,Pls rich
560636638364041236,commands,15,Pls rob Me#7594
560636660207976488,commands,2,I-
560636680999010304,commands,21,<@538833422718861323>
560638365310124043,commands,8,Pls rich
560638399258689556,commands,15,Pls rob Me#7594
560638683003224066,commands,15,Pls rob Me#7594
560638718445355020,commands,15,Pls rob Me#7594
560638754675752971,commands,15,Pls rob Me#7594
560638780298625034,commands,15,Pls rob Me#7594
560638816205930510,commands,15,Pls rob Me#7594
560638837349416962,commands,2,No
560638854986596369,commands,13,Find somebody
560638881570095114,commands,15,Pls rob Me#7594
560638901228797956,commands,2,I-
560638947886235648,commands,30,<@538833422718861323> rob them
560638972326445066,commands,3,Wow
