ID,Channel,Content Length,Content
560625504458113044,fortnite-general,79,<@334555884514443264> Lets not pick up on that topic due to alot of "TTV" here.
560626027768840192,fortnite-general,3,Hhm
560626478795063307,fortnite-general,9,Well dang
560626844991356940,fortnite-general,3,Idk
560626913069236224,fortnite-general,16,Check His videos
560627747936927776,fortnite-general,74,<@283718829966622720> take you're situation to a roblox server no offense.
560628154922827787,fortnite-general,1,?
560628227941466147,fortnite-general,35,<:kyleconcerned:503312835674243083>
560628626815713281,fortnite-general,15,Ok thats creepy
560628699272314900,fortnite-general,35,<@515044390821953538>. Thats creepy
560629334688399360,fortnite-general,27,Fortnite needs a huge patch
