ID,Server,Channel,Content Length,Content
558459290562723842,r/teenagers,memes,0,
558779417162154005,r/teenagers,memes,66,Hey guys there's a question on my political science take-home exam
558779437013794818,r/teenagers,memes,21,can you guys help me?
558779503195848704,r/teenagers,memes,34,the question it_ "Orange man ____"
558780259651026944,r/teenagers,memes,28,I'm just gonna put "average"
558781045630042125,r/teenagers,memes,145,It's not the real pokemon experience unless you're hiding your DS under your bed when your parents come into your room to make sure you're asleep
558781240593874954,r/teenagers,memes,33,just overthrow the government lol
558785023742836764,r/teenagers,memes,40,atheism is the easiest religion to troll
558789905204117509,r/teenagers,memes,33,my dog fell down the stairs again
558789910774022145,r/teenagers,memes,3,rip
558790544134766593,r/teenagers,memes,66,yall ever just inject melted rubber straigjt into your bloodstream
558791253995683870,r/teenagers,memes,37,lmao look at this nerd doing exercise
559034376369733632,r/teenagers,memes,859,Holy fucking shit that is the most abhorrent and appalling attempt at comedy I have ever witnessed. No sane person would actually find this pathetic attempt at humor funny. The only people who would even smirk or chuckle at this deplorable meme are people with severe mental disorders. I never want to set my eyes upon another one of your pitiful meme posts ever again. They are sickening_ egregious_ and require a maximum of 1 brain cell to find a sliver of clever comedy in this post. You are a disgrace to everyone you know and love. It is time that you face your retribution for this god forsaken post. Your days are numbered and you shall pay for this atrocious joke with eternal damnation. I will find more enjoyment knowing your life will now be filled with trepidation before I watch the life drain from your eyes than your intolerable sense of humor.
559034515821953081,r/teenagers,memes,4,rude
559108402542936108,r/teenagers,memes,0,
