ID,Content Length,Content
558802701303939073,35,why would preorders for a game end?
558802732706693120,36,aside from because the game came out
558869536313704469,3,huh
558869575886700545,15,oh perfect blue
558869644405112852,29,it's a favorite of mine_ uhhh
558869802521722880,76,I'm not sure I'll watch the whole thing_ but I'll come in and start at least
558869854690607135,45,tonight will be my 5th time if I watch it all
558869897271181313,77,right now I'm just also trying to get alita ready for the groupwatch tomorrow
558870026996940821,42,and no idea what I'm doing with this stuff
558870048622772224,12,in handbreak
558870090401972225,21,but it should be fine
558870174372069387,20,I didn't change that
558870249005514762,88,I increased encoder level_ lowered the constant number_ and set encoder preset to slower
558870381507903540,27,why didn't it delete itself
558870427255046174,13,I blame apiks
558870906399621141,10,no filters
558870963391954944,66,I really just need to remove other audio track_ make it hardsubbed
558871014319063043,45,for it to work on cytube_ for us to stream it
558871080882798612,48,someone mentioned handbrake so that's what I got
559109667150626816,29,this isn't the place for that
560950760754642944,46,I need to switch to firefox on desktop already
560950789020057631,34,switched on mobile a long time ago
560951169443430420,189,persistent ad at the bottom and top_ 50 ads as you go down an article every paragraph or so. and a chance you accidentally open one while scrolling past because you have to touch the screen
560982090456236032,125,I found this on amazon_ pretty cheap for that much https://www.amazon.com/Ferrero-Kinder-Chocolate-CASE-10x100g/dp/B000LQNCEE
560982222707097620,57,at least that seems cheap_ idk how much they normally are
560982336951287820,41,that sounds like 8kg of chocolate for $17
560982510633353219,30,or wait is the whole box 100g?
560983775954075658,22,ricey how's jojo going
560985690868023306,17,no hurry for jojo
560985731946774538,33,but if you finish it I'll read mm
560985788834119681,9,s1 I mean
560985801224093726,19,not the whole thing
560998306495463427,82,my mom invited me to go get tacos with her tonight but she picks the worst places.
560998401248985089,80,She called me up_ "hey want to meet me at <shitty dive bar>_ they have $1 tacos"
