ID,Channel,Content Length,Content
559003811545350152,minecraft,11,Всем привет
559003889219928071,minecraft,11,я новенький
559004007297843200,minecraft,4,what
559004096405962774,minecraft,12,ЕСТЬ РУССКИЕ
559004130434220032,minecraft,28,https://youtu.be/ddsnuSzL0U4
559004157412114442,minecraft,28,https://youtu.be/ddsnuSzL0U4
559004238022443018,minecraft,8,о привет
559004454792331274,minecraft,28,https://youtu.be/ddsnuSzL0U4
559004485494767618,technical-bedrock,28,https://youtu.be/ddsnuSzL0U4
559004558068678678,minecraft,5,i too
559004632609718292,minecraft,29,<:dropper:425389302294511628>
559004810615980043,multiplayer,29,йhttps://youtu.be/ddsnuSzL0U4
559004841163358228,builds,28,https://youtu.be/ddsnuSzL0U4
