ID,Channel,Content Length,Content
558994704268656661,lounge,38,Alright alright who wants to be kicked
558994752025001993,lounge,14,Any volunteers
558994764733874177,lounge,4,Damn
558994837693792266,lounge,34,<@208032686667726848> shut up nerd
558994959168962580,lounge,20,Newfag exterminator*
558995118225621002,lounge,35,Beastboy volunterred himself before
558995176559738891,lounge,15,Ye but hes back
558995260060205066,lounge,3,No.
558995267156705300,lounge,3,Me?
558995276694814721,lounge,6,Greet?
558995281140776960,lounge,2,Fk
558995285712568320,lounge,2,No
558995384739954698,lounge,34,I dont want a weeb to greet people
558995407477145630,lounge,22,Not our kind of server
558995458962227211,lounge,26,We are not a weeb paradise
558995484279046144,lounge,33,I would like to destroy all weebs
558995569696047125,lounge,33,Doesnt even get the websitr right
558995602164416532,lounge,13,Fking newfags
558995696393519125,lounge,27,Masterani.gofuckyourself.me
558995804371550229,lounge,14,Weed+dumb=weeb
558995932964847628,lounge,33,<@199551018852155393> so were you
558996063009112094,lounge,20,Its not a shit emoji
558996085671198731,lounge,18,Now sukkels emojis
558996099017211904,lounge,20,Those are disgusting
558996258543632421,lounge,27,We were never weeb paradise
558996288415334401,lounge,46,When do we ever talk about anime in the lounge
558996331377721344,lounge,28,We do not need to save weebs
558996416161251378,lounge,24,Weebs are to be forsaken
558996431353151488,lounge,7,No nar.
558996446020370435,lounge,14,I dont want to
558996464894738432,lounge,3,LOL
558996472557993987,lounge,3,Yes
558996492640059412,lounge,7,Setsuya
558996545014333460,lounge,31,Thats thr place weebs are saved
558996552912338955,lounge,11,For a price
558996730394312724,lounge,3,Nar
558996762665287690,lounge,13,When the fuck
558996785956126720,lounge,21,Would i say thst dhut
558996791182360576,lounge,4,Shit
558996839773372437,lounge,20,Nar. U can be a weeb
558996874128785408,lounge,30,But stop fking making up words
558996986641121280,lounge,28,!cleanup user NarwhalOmko 10
558997012989739013,lounge,7,Only 10
558997049597624321,lounge,23,Becsuse ur not a newfag
558997061656248323,lounge,8,But yea.
558997083030290433,lounge,19,Stop making shit up
558997089036664862,lounge,4,Fker
559001621573402682,lounge,45,<@96262512948838400> i want more pocari sweat
559001629282664464,lounge,11,Buy me some
559001679958114304,lounge,4,Fk u
559001999782313984,lounge,23,Thats not the real yuzu
559002016559529985,lounge,23,Hes not the yuzu i kn9w
559002041993789460,lounge,29,!names  <@334954325166260224>
559002053855281153,lounge,6,Faggot
559002082284404739,lounge,14,There is Yuzu☆
559002146071248927,lounge,21,He left anime forever
559002201482199050,lounge,21,The fellow marylander
559002205655662592,lounge,3,Rip
559002334647025674,lounge,3,Rip
