ID,Content Length,Content
560608865876574208,36,article 13 <:dab:257654418634178570>
560962521154977812,71,well theres always gonna be famillies_ this is about the nuclear family
560962776370249728,42,hahaha gender studies hahaha hahahaha rofl
560962791251509248,11,so original
560962980041326630,149,what do you mean "give you"? What does politics give you? In gender studies youll have more of a chance to discover something new than gender studies
560963116364464151,53,gender studies? of course you can get a job with that
560963227916304385,56,Well_ researcher about gender or sociologist for a start
560963255464493096,33,I dont know the professional word
560963313480237096,59,<@!448555143344947205> genetic editing of humans: yes or no
560963685833768962,30,7 inch dicks? aiming low I see
560963866562134027,51,what did it classify you as? <@!448555143344947205>
560963893384708117,42,Looks like Social Liberal from the values?
560964417450278922,12,you wot mate
560964438216278016,20,Im not even a commie
560964477890199573,22,now thats more like it
560964501881487374,52,if youre gonna ew me ew me with the correct idoelogy
560964603711062044,56,I will give you all workers rights and social security 😈
560964666877280271,15,left unity yeah
560964704336478209,66,do you consider yourself socdem these days? <@!324626144664223744>
560964717871366144,17,or what is it now
560964822745874457,35,well meaning <@!550993202291802114>
560964886621061127,79,<@342441638750191619> id say most people are a bit left of center_ but not much
560964972645974046,8,the west
560965093983256586,7,henlo n
560965130993532932,50,im demsoc but you still get to be in the coalition
560965214498062380,80,social democrat to communist_ we shall form a front to counter dem reactionaries
560965276548726815,68,we can still have infighting after the threat from the right is gone
560965313408270346,79,<@!324626144664223744> we literally want to expand your rights and well being 😿
560975416240635916,42,Just cause Obamacare was a massive failure
560975426923528234,16,Mate I live here
560975433034891315,9,How is it
560975439460302861,14,Please tell me
560975956676968450,0,
560976074205298748,44,what the fuck kind of wizardry math is that?
560976085639233546,8,no no no
560976096385040385,31,you dont get to make up numbers
560976176995237908,12,Yes_ exactly
560976194061991936,44,you need to change the system if its failing
560976372873429013,49,the US gdp is about 150 times that of finland btw
560976426275438592,42,but their population is only 60 times more
560976468524400640,49,how come they spend similar % on healthcare then?
560976491211653131,39,could it be the US system sucks? No way
560976658161598467,131,supply and demand? Like the insulin prices of 800$? We should not fuck with that? Insulin costs scraps everywhere else in the world
560976704429096960,76,If you dont intervene_ big pharma just squeezes every penny out of customers
560976757298167828,101,Not to mention that they might not even cure customers since yknow_ that would be a loss for business
560976876655345674,37,yeah exactly. start fixing the system
560976901112463378,22,thats what I want_ yes
560976992128991233,74,well the healthcare is fixable by fixing the system with current money yes
560977073259151375,70,more taxes would help expand infrastructure for many thigns fastert ho
