ID,Channel,Content Length,Content
558454202314260482,general,16,oh gosh oh frick
558454235566702614,general,13,hi bagel!!!!!
558454246790660116,general,6,yuhhhh
558454271583191052,general,8,bagel vc
558454273231552523,general,3,pls
558454277035786244,general,1,?
558454341015437333,general,4,okie
558459857188028417,general,6,sup ra
558459862158147614,general,3,rat
558459874414035007,general,19,except im not a rat
558460566411280416,general,9,more like
558460594488082473,general,33,mods and users arguing who is gay
558461781840756776,general,8,you asre
558461798442074113,general,2,oh
558468119560060929,voice,9,Rynnnnnnn
558468130800926732,voice,12,I wanna join
558468140023939096,voice,2,:(
558468313639026688,voice,13,Go to quieter
558468326758809610,voice,2,:(
558468390478413835,voice,10,Or go gen2
558468658100436992,voice,11,Nah ur good
558468903299448834,voice,10,s m h guys
558468918021455872,voice,12,i wanna join
558468971351769117,voice,4,noah
558468981128953857,voice,5,where
558469008555376662,voice,9,ikr bagel
558469013043150856,voice,2,or
558469026385362964,voice,10,beggel????
558469108601978900,voice,8,eggserv?
558469112733368330,voice,3,wtf
558469178995113994,voice,2,ok
558469234280235021,voice,9,yes u are
558469333408284712,voice,20,ay its back to bagel
558469464090476544,voice,4,frfr
558471451695382528,general,2,Hi
558767048214315037,self,2,gl
558767761946312726,general,9,fr cannon
558767778887106572,general,2,oh
558767780996972547,general,4,wack
558767813955682304,general,33,just listen to my beautiful voice
558768007686389770,general,4,rynn
558768019678167050,general,17,this is so stupid
558768042327408640,general,8,the fuck
558768230018187285,general,1,^
558768322322366592,general,6,andrew
558768344229085201,general,23,is that even a question
558768977728241667,general,29,<:crushed:535203536699523082>
558769628759851013,general,3,oof
558769718706831400,general,6,!!ping
558769733474713604,general,3,the
558769736603664395,general,4,fuck
558769741402210317,general,3,bro
558769781407481916,general,5,!!arc
558769877092139029,general,7,!!penis
558769889314078750,general,6,!!help
558770012417032222,general,7,!!slots
558770066292867089,general,2,??
558770114095480844,general,28,<a:doggo:554417880058298393>
558770154243227649,general,7,uh eliz
558770161415487490,general,13,im right here
558770223369420820,general,27,go to quiet if u wanna talk
558770345881108480,general,25,<:OOF:525342141577297921>
558770598566952965,general,18,smh my head cannon
558770696499626024,general,27,!!ban cannon m2 carrot [ww]
558770784542130179,general,68,<:dynoSuccess:557718544805003269> ***acannon#0420 has been banned***
558770880130449415,general,67,<:dynoSuccess:557718544805003269> ***acannon#0420 has been muted***
558770987173150749,general,20,enjoy eating my ass!
558771001748488216,general,7,wait...
558772359079657483,general,10,lmaooooooo
558773021154738188,general,16,what is going on
558773034425647105,general,4,bman
558773040092151809,general,7,stop it
558773143649386547,general,4,epic
558773228747751425,general,5,i can
558773242181976064,general,13,im a man thot
558807800524963841,general,1,h
558808172966707212,movie-night,4,lmao
558808216340004874,general,21,im gonna kill someone
558808256919764992,general,27,person below me gets killed
558808316348727316,general,11,Hickz it is
558808424423358469,general,6,ok byê
558809694819581966,general,35,yeet i got denied from northwestern
558809710539833385,general,15,what a surprise
558809783591763968,general,3,oof
558809853720789012,general,65,there was a fucking 5% acceptance rate this year for northwestern
558809900902252550,general,25,no wonder i didn't get in
558809906728140812,general,6,ok bye
558817095480246272,general,5,w0oke
558824199519731722,movie-night,16,I GOT MONEY BAGS
558824261419139099,general,15,I GOT MONEYBAGS
558824284017917952,general,33,CASH CARTI BITCH CASH CARTI BITCH
558833680861364249,general,4,what
558833692596895759,general,18,why is this so ded
558833837598048266,movie-night,56,oh so this is where all my friends are oof i hate movies
558843850249076740,general,5,penis
558843856721018899,general,2,gn
558843981816135682,general,14,It’s almost 11
558843994524876810,general,3,Wym
558844047331033108,general,31,I have to wake up at 8 tomorrow
558844069522964480,general,1,😔
558844086359031810,general,15,Tennis practice
558844104423768081,general,19,Maybe I’ll skip idk
558844160162004993,general,36,Bc my anxiety is at an all time high
558844206165131284,general,39,I don’t wanna b around ppl I don’t like
558844281817923596,general,29,I had an anxiety attack today
558844301665107968,general,20,First one in a while
558844347874017312,general,13,Yea it sucked
558844367033466880,general,23,I couldn’t breathe lmao
558844441046024212,general,3,Mhm
558844503885086731,general,13,Might be fren
558844522193354772,general,22,Just don’t be annoying
558844584390688769,general,4,Sure
558844638866178059,general,19,Yea cuz movie night
558844814079164426,general,3,Mhm
558844845209157632,general,38,Anxiety attacks only last a minute max
558844954735018006,general,40,Mental breakdowns can be like 10 minutes
558844971889983501,general,13,Oh shit bagel
558845086037704704,general,47,I think anxiety Attacks can come out of nowhere
558845109148581888,general,23,Correct me if I’m wrong
558845193579921450,general,43,And mental breakdowns have a reason usually
558845387662819361,general,4,hmmm
558845400455577600,general,4,okay
558845446894911500,general,62,sorry can we not talk about this it’s kind of a trigger for me
558845523889487882,general,1,😳
558845549382729758,general,28,I had a shamrock shake today
558845625903611944,general,12,I dooooooooo
558845683910574111,general,6,Me too
558845705112780851,general,20,I sure do love drugs
558845789800103938,general,15,Google home....
558845800185200690,general,11,Nothing rly
558845822880710666,general,25,I do it all the time lmao
558845854882988041,general,30,I just want some candy ya know
558845896230699019,general,8,Lmaooooo
558845961871556611,general,19,I still steal a lot
558846021724143617,general,41,Fun fact I have stolen 7 pairs of AirPods
558846063658663936,general,3,Mhm
558846115508650024,general,16,I sold all of em
558846127173140512,general,9,Omg bagel
558846148119625767,general,24,There was this one night
558846196412579843,general,61,Me and my friends were on a stealing spree at the Apple store
558846237395386400,general,43,We stole over $1000 worth of stuff that day
558846280819015730,general,19,We got a beats pill
558846303166267395,general,15,4 AirPods pairs
558846345902030860,general,26,2 or 3 pairs of Powerbeats
558846361731334147,general,12,A power bank
558846386225807388,general,24,And something else maybe
558846409802121246,general,33,Here I’ll see if I can find a pic
558846852070506506,general,5,Bagel
558846877458497556,general,0,
558846926741700608,general,34,That’s the stuff we got that night
558846947365093394,general,29,A few things are not pictured
558847125136474123,general,39,It’s one of the only things I’m good at
558847148318523392,general,26,Plus I’ve stopped stealing
558847239552892929,general,27,I had a drawstring bag lmao
558847381521694720,general,47,Last time I stole was a month ago I’m not crazy
558847411162710046,general,32,And that was just a water bottle
558847739966783489,general,9,Oh my god
558847774951604224,general,33,Since were confessing about crime
558847810909372436,general,22,I got some more to say
558847833990758421,general,5,Bagel
558847851761893406,general,17,I committed fraud
558847860926578709,general,1,😳
558847889955225602,general,4,yess
558848017407672331,general,4,Zero
558848046805286924,general,37,I have like nothing else going for me
558848083644121118,general,36,No you’re definitely referring to me
558848112815374356,general,12,So basically
558848169216049160,general,32,I bought ppls bank account infos
558848209611522050,general,33,And I used that shit for personal
558848227248439296,general,9,I am dumb
558848239009267722,general,15,I really regret
558848287038504960,general,21,No it’s fine I get it
558848354520530955,general,30,Bar codes don’t set off alarms
558848359255769100,general,4,Lmao
558848405766668288,general,11,No it’s not
558848455955709987,general,8,Lmaooooo
558848465887821846,general,5,Zeroo
558848506362593316,general,32,Ahhh welcome to the crime circle
558848579599597578,general,5,Bagel
558848603724972053,general,19,I frauded over 100k
558848648172273664,general,11,.__..._.._.
558848707676733478,general,27,*Several people are typing*
558848721048305665,general,5,Bagel
558848750462697481,general,23,This was like 3 yrs ago
558848779718230026,general,30,I wasn’t even in teenserv then
558848884210925628,general,53,But maybe I should do it again and get lifetime nitro
558848897456275502,general,9,Lmao zero
558848911293546496,general,8,Gangster
558848970173055033,general,8,No bagel
558848988598501376,general,29,I’m not doing that shit again
558849019128971274,general,19,I almost got caught
558849117552508938,general,83,I’m still convinced they’re waiting for me to turn 18 so they can send me to prison
558849171554041869,general,22,How do you steal shoes
558849189958647808,general,4,Jeez
558849208015388673,general,15,Whatta gangster
558849238617030674,general,4,Sure
558849393424334858,general,44,Ugh I wish I could vc with you beautiful ppl
558849420611813397,general,14,Don’t do fraud
558849430854303746,general,11,Shots scary
558849458587041807,general,29,I couldn’t sleep for 6 months
558849485405683722,general,29,Bc I was scared to get caught
558849572248616991,general,20,Hahahahaha mood zero
558849640376565780,general,40,I stole a $3 water bottle at the airport
558849669526978608,general,31,I could have easily paid for it
558849705115910145,general,14,No zero me too
558849714460688404,general,1,😔
558849794651586570,general,4,Same
558849819917942784,general,8,No bagel
558849836498288640,general,12,Ur still 5’q
558849846849568769,general,1,1
558849973425405952,general,30,I’m still taller than u then 🤪
558850031776694273,general,5,5’7 🤪
558850253323894815,general,32,Ugh this song is SO FUCKING GOOD
558850330075594804,general,39,BOUGHT A SPACESHIP NOW IMMA SPACE CADET
558850454226731035,general,9,Same zero
558850466537275392,general,15,I feel that way
558850538473521173,general,46,Last time I had a real friend was 12 years ago
558850616345231380,general,12,When I moved
558850652571172865,general,40,Ok but like we’re not greeeaaaat friends
558850682497531905,general,34,Like I don’t have any best friends
558850694883442714,general,12,Just friends
558850757496143873,general,17,Sorry to hear bro
558850809119637504,general,33,Jesus fuck I’m scared for college
558850822469845002,general,18,Shits so expensive
558850922315513856,general,28,My parents will pay for mine
558850953399500830,general,34,But I still have to pay part of it
558851013323391017,general,57,Like I’m smart and shit but I didn’t get any scholarships
558851110706610195,general,28,Yeet what college u doing to
558851119733014528,general,5,Going
558851145767059456,general,9,Weeeeeeee
558851188909670411,general,2,Ok
558851251115393073,general,39,I got into univ of Maryland and Rutgers
558851297256669203,general,50,But I’m doing terrible mentally so I’m thinking cc
558851483907522571,general,8,Same tbh
558851502199013397,general,20,I wanna get outta hs
558851621485019147,general,28,My town is like a bubble tbh
