ID,Channel,Content Length,Content
558857814596911106,pewdiepie-vs-tseries,58,I'm the spam police if I see spamming you're going to jail
558857936307224587,pewdiepie-vs-tseries,28,<:threat:553637815917871144>
558858112405209088,pewdiepie-vs-tseries,32,_Arrests <@!414998414695333908>_
558858292000981014,pewdiepie-vs-tseries,17,Have fun in jail!
558858473429925889,pewdiepie-vs-tseries,17,Not you asphronix
558858570276405248,pewdiepie-vs-tseries,59,_finds  <@!414998414695333908>'s house_ Spam Police OPEN UP
558858861260308496,pewdiepie-vs-tseries,57,_Breaks door down You're under arrest for escaping jail._
558859014411124737,pewdiepie-vs-tseries,57,Have fun in jail for a second time <@!414998414695333908>
558859179578621964,pewdiepie-vs-tseries,44,Anyone else want to go to jail for spamming?
558859428582129665,pewdiepie-vs-tseries,35,Ok. What do you want to talk about?
558860826606436353,pewdiepie-vs-tseries,89,Did you escape jail <@!414998414695333908>  because if you did ill send you to jail again
558862894624669697,pewdiepie-vs-tseries,2,Ok
558862954976509952,pewdiepie-vs-tseries,45,I'll be sure to do that <@259295999082627072>
558863160996659211,pewdiepie-vs-tseries,74,_Sends  <@!414998414695333908>   to a max security spam correction centre_
558863455894110219,pewdiepie-vs-tseries,29,It's has max security dum dum
558863969713127424,pewdiepie-vs-tseries,87,_OH YEAH?_ <@499464292580458496>  tells the kool aid man to find <@!414998414695333908>
558864348865363969,pewdiepie-vs-tseries,90,Kool aid man:  _OH YEAH_  <@499464292580458496> : Good now look for <@!414998414695333908>
558864620136431620,pewdiepie-vs-tseries,22,<@!414998414695333908>
558864636376776714,pewdiepie-vs-tseries,22,<@!414998414695333908>
558864650997858316,pewdiepie-vs-tseries,3,LOL
558864683743051778,pewdiepie-vs-tseries,7,rekt m8
558867024567205889,pewdiepie-vs-tseries,44,10 Minutes of <:DeadChat:524896170787733514>
558867048181006357,pewdiepie-vs-tseries,3,WOW
558868043779014656,pewdiepie-vs-tseries,23,LOL you pinged yourself
