ID,Channel,Content Length,Content
558448144359096340,voice,27,<@!415656265377644544> v- v
558450230362636290,general,19,they really did tho
558450238671683613,general,15,it's a hot mess
558450241083408407,general,4,amen
558451453912547331,bot-commands,21,<@423694063888498688>
558451457850867782,bot-commands,21,<@423694063888498688>
558451465438494721,bot-commands,21,<@423694063888498688>
558451468538216465,bot-commands,21,<@423694063888498688>
558451471209725962,bot-commands,21,<@423694063888498688>
558451473604804638,bot-commands,21,<@423694063888498688>
558451476351942684,bot-commands,21,<@423694063888498688>
558451539233210398,bot-commands,56,<a:unu:557202049075380254> legit teenager please explode
558452293129863168,general,10,bagel help
558453196465373217,general,67,bagel <:amgplz:544612350628724766> <a:luvluvplz:544615618276753409>
558453259904483338,general,12,xoxo bagel ❤
558453345921138688,general,56,HI LAVENDER ILY !!!! <a:heartflutter:554010046594285588>
558453379190489098,general,32,hi cam <:uwu:551792287340822531>
558454036555235328,general,9,bambi who
558454045556342794,general,10,bambi me ?
558454094272921656,general,10,the tea is
558454117811355662,general,33,robin broke my heart at one point
558454130725748745,general,18,so I spent 5 hours
558454146915631124,general,39,deleting any message that mentioned him
558454158399766582,general,26,<a:unu:557202049075380254>
558455748066148353,bot-commands,5,t!top
558457900637618186,voice,2,um
558457903560785920,voice,2,no
558457915061829633,voice,20,it's not allowed LOL
558459048903704589,general,2,um
558459054817804298,general,15,don't do it cam
558459059012108288,general,5,i s2g
558459124782727209,general,20,i swear 👏 to 👏 god 👏
558459206118932480,general,108,<@207163081896230914> HI CHAAAAAADDD !!!!! <a:luvluvplz:544615618276753409> <a:heartbeat:555003262110138372>
558459355071250434,general,43,honestly mental breakdowns are so overrated
558459408275865610,general,12,IS THAT ZERO
558459422746214400,general,36,<:amgplz:544612350628724766> 😋 ❤ ❤ ❤
558459895511515349,general,4,I'll
558459915983781919,general,45,be back or whatever <:uwu:551792287340822531>
558843534048755723,general,3,oof
558843544413143050,general,18,where are my faves
558843904418381842,general,2,hm
558844071838351370,general,2,ew
558844092923248672,general,36,having to wake up at 8 on a saturday
