ID,Channel,Content Length,Content
558448144359096340,voice,27,<@!415656265377644544> v- v
558450230362636290,general,19,they really did tho
558450238671683613,general,15,it's a hot mess
558450241083408407,general,4,amen
558451453912547331,bot-commands,21,<@423694063888498688>
558451457850867782,bot-commands,21,<@423694063888498688>
558451465438494721,bot-commands,21,<@423694063888498688>
558451468538216465,bot-commands,21,<@423694063888498688>
558451471209725962,bot-commands,21,<@423694063888498688>
558451473604804638,bot-commands,21,<@423694063888498688>
558451476351942684,bot-commands,21,<@423694063888498688>
558451539233210398,bot-commands,56,<a:unu:557202049075380254> legit teenager please explode
558452293129863168,general,10,bagel help
558453196465373217,general,67,bagel <:amgplz:544612350628724766> <a:luvluvplz:544615618276753409>
558453259904483338,general,12,xoxo bagel ❤
558453345921138688,general,56,HI LAVENDER ILY !!!! <a:heartflutter:554010046594285588>
558453379190489098,general,32,hi cam <:uwu:551792287340822531>
558454036555235328,general,9,bambi who
558454045556342794,general,10,bambi me ?
558454094272921656,general,10,the tea is
558454117811355662,general,33,robin broke my heart at one point
558454130725748745,general,18,so I spent 5 hours
558454146915631124,general,39,deleting any message that mentioned him
558454158399766582,general,26,<a:unu:557202049075380254>
558455748066148353,bot-commands,5,t!top
558457900637618186,voice,2,um
558457903560785920,voice,2,no
558457915061829633,voice,20,it's not allowed LOL
558459048903704589,general,2,um
558459054817804298,general,15,don't do it cam
558459059012108288,general,5,i s2g
558459124782727209,general,20,i swear 👏 to 👏 god 👏
558459206118932480,general,108,<@207163081896230914> HI CHAAAAAADDD !!!!! <a:luvluvplz:544615618276753409> <a:heartbeat:555003262110138372>
558459355071250434,general,43,honestly mental breakdowns are so overrated
558459408275865610,general,12,IS THAT ZERO
558459422746214400,general,36,<:amgplz:544612350628724766> 😋 ❤ ❤ ❤
558459895511515349,general,4,I'll
558459915983781919,general,45,be back or whatever <:uwu:551792287340822531>
558843534048755723,general,3,oof
558843544413143050,general,18,where are my faves
558843904418381842,general,2,hm
558844071838351370,general,2,ew
558844092923248672,general,36,having to wake up at 8 on a saturday
558844171151081473,general,7,anyways
558844198711853096,general,30,<:blobwave:396521773216301056>
558990339478781964,general,1,^
558990807005397014,general,2,um
558990846012162048,general,33,is there any real reason to think
558990863297151001,general,39,the second time would be any different?
558990972789456926,general,107,bethany you're probably cute as fuck_ go find a guy who thinks you're cute as fuck and then you'll remember
558991108298899456,general,8,LOL mood
558991120424632330,general,27,guys are ass in general but
558991737184452618,general,81,<@132944186054803457> its ok i could never block you you're actually a sweetheart
558991888749690880,general,4,omfg
558991944664088577,general,36,bruh imagine talking to the same sex
558991974292652043,general,32,talking to boys irl? infuriating
558992009961013258,general,9,i fucking
558992040243888128,general,24,smell a boy and I go 🤧 🤢
558992107197693963,general,30,i dont !!! i always smell like
558992119646388224,general,19,cookies and vanilla
558992154475626496,general,70,on god if anyone EVER catches me smelling bad that'll be the day i die
558992348885811210,general,5,oh no
558992480570179596,general,70,aks thats the second irrelevant image <:blurryeyes:464369360580902922>
558992492737986569,general,11,ur wylin !!
558992555904204806,general,36,i wish i was in an all girl's school
558992572027240469,general,23,im gay so it'd be great
558992678076022787,general,18,can i just go like
558992684254101505,general,7,3 years
558992701920641034,general,30,without interacting with a boy
558992703841370113,general,3,irl
558992801807728641,general,2,ya
558992806668926986,general,13,whats up rock
558992855780294676,general,16,BECAUSE BOYS ARE
558992860599418911,general,2,SO
558992886608429056,general,28,<:ughplz:544612366701166623>
558992906657202191,general,13,well yeah but
558992926924079114,general,11,cishet boys
558992946158895124,general,4,STOP
558992948734459916,general,3,LOL
558992988211249153,general,11,I LOVE THAT
558993005730594841,general,31,I'M USING THAT FROM NOW ON ROCK
558993076396359711,general,3,yes
558993090442952725,general,31,but i never use it in that size
558993128342945802,general,55,it's so much more impactful when it's larger resolution
558993136731422731,general,13,and i love it
558993197792231424,general,17,ok but the tea is
558993222211207178,general,44,cishet boys are SO draining to interact with
558993407633260554,general,83,<@132944186054803457> a majority of guys have no personality ~~when they're sober~~
558993439862292480,general,1,^
558993555897712642,general,106,like_ 80% of cishet_ no-mental-illness teenage boys are almost all carbon copies irl as far as personality
558993839692578826,general,38,ellu you're obviously very interesting
558993873590943754,general,72,you're introspective and thoughtful with a nice level of emotional depth
558993897511059458,general,39,something basic teenage boys don't have
558993913441026048,general,22,so I'm proud of u ellu
558993920672006239,general,35,<a:heartflutter:554010046594285588>
558994251510185984,general,47,out of all the things I get told about my voice
558994276059447317,general,52,I've never been told it doesn't match my personality
558994284699844608,general,12,or apperance
558994418036768788,general,101,<@!327760224847003649> wait if I think about it !!!! you and bman are the only two people to say that
558994426320650240,general,16,you just now but
558994439897350144,general,29,up until now it was just bman
558994662292193291,general,90,ok but on god i've only been here for like an hour and i'm ALREADY tired of this server rn
559001604573888513,voice,67,just actively try to interact with me because they enjoy my company
559001632730382336,voice,51,that's literally the sweetest thing they can do oof
559045728106971146,general,26,woooooooooooooooooooooooow
