ID,Content Length,Content
560288379355529226,45,<@!232570891890982912> you would assume wrong
560288467519537162,35,im glad i aint yellowNLteam pink ftw
560640471458643975,26,eula breaches arent a joke
560640515629121594,26,his fn account is worth $0
560640628627603456,15,it does and has
560640709506367502,2,hi
560640895737790464,116,discord isnt selling or trading them_ there are discord groups who illegally try to sell them <@!336861668506075149>
560640978437013534,83,it is illegal and can result in legal action_ do not do it and do not joke about it
560641135811362826,70,discord actively deletes and bans users who perform illegal activities
560641159840661514,4,!lfg
560641580281757696,86,Apex is a completely different game_ to be discussed in a completely different discord
560641826856632330,53,This is a fortntie discord_ not a console war discord
560641992489435178,104,<@560630511559770133> due to switch being made for gaming_ it has better capabilities than mobile phones
560642035267272744,37,this isnt a war to be had here though
560642210299904000,40,Please stop the moibile console war guys
560642346526572546,76,there is one of those somewhere_. if you want to argue about it try google 😃
560642422208725020,42,<@294998718053351424> hmmm_ what did i do?
560642790103580692,127,<@325456619284725761> i miss all the time_ i plan for the bullet to travel the planet and hit them on the second passage around
560643273228812288,69,<@221416809385951232> the earth is slightly flatter than a basketball
560643374953005056,85,<@!434711340498812944> message in normal characters and i assume it wont happen maybe
560643930983497751,84,<@401168248797659136> no one can help_ once you run out of refund tickets that is it
560644229320146955,95,<@481950082963341322> im used to beating the living_ need to beat them into submission for food
560644842359750696,102,<@484392518427869184> you can use other words that arent close to the filter to explain your situation
560644897846198279,55,<@!464672246183493632> not a console/mobile war discord
560645115438432261,150,<@484392518427869184> it is close to another word and will be detected as such_ so please use words similar_ the english language has about 50 of them
560645308447457280,90,<@434711340498812944> use normal characters and google how to because it isnt allowed here
560645409958002700,92,<@434711340498812944> also_ if you change your nickname again it will be an official warning
560645958610714653,8,practice
560646197946089493,4,!lfg
560646347359780894,7,cacawww
560646400640155648,37,<@272051406154891264> cool_ dont spam
560646948655464482,8,!helpers
560648323527213097,4,!lfg
560649667520626728,77,....dont buy a phone just for a skin_ be glad a phone had a free skin with it
560650334410899467,92,<@135837396817149952> disposable income is a leisure some individual or privileged kids have
560650397249961995,45,<@!400790948642291713> there is no pass_ dont
560650498546335764,18,no you dont_ dont]
560650634664083456,4,same
560653570496659483,30,isnt the arena made for sweat?
560654056348188673,24,dap >.....> classy dab??
