ID,Channel,Content Length,Content
560962408902950932,general,7,Now ava
560962440540454912,general,24,Did u get ur stuff back?
560962545461231628,general,37,Nah ava did a assignment a while back
560962611114541062,general,74,Im sure it went well i just wanna know <:GWomoGabSmile:405784198780289034>
560962757927764022,general,11,Righ ababa?
560962861564821545,no-mic-chat,15,Jablinski games
560962986609606696,general,9,Hi ezwuwu
560963042116894720,general,26,That was terrible im sorry
560963070269325314,general,17,How was your day?
560963204650631178,general,13,Gnight bakaaa
560963287223631872,general,30,How baku ur a pokemon trainer?
560963334510346256,general,3,*oh
560963362939207707,general,4,Ara?
560963468749045770,general,33,Remi how come i never see you ;-;
560963512470339595,general,15,Baku how u doin
560963544691113984,general,14,And u too remi
560963587460431882,general,21,I hope remi is okay?!
560963616258392064,general,18,Like as a nickname
560963697842061361,general,30,So both of u r doing good nice
560963766112485396,general,15,Esq how u doin?
560963837092691968,general,8,Sweeeeed
560963877391826955,general,17,Swed how are you?
560963904835158030,general,15,Thats nice esq!
560963962854703124,general,16,A cash hiw are u
