ID,Channel,Content Length,Content
558848508912730122,music,0,
558848517561384970,music,84,<@388801706076667906> - your song `morcheeba - "the sea"` is now playing in `Music`!
558848887071440918,music,0,
558849983428952065,music,116,<@388801706076667906> - your song `Savage Garden - To The Moon & Back (Extended Version)` is now playing in `Music`!
558850092384387073,music,0,
558851188091518976,music,97,<@388801706076667906> - your song `The Pixies - Monkey Gone To Heaven` is now playing in `Music`!
558851337429843969,music,0,
558852336273981440,music,90,<@388801706076667906> - your song `Yesterday (Remastered 2015)` is now playing in `Music`!
558852426103259161,music,0,
558852581720326154,music,0,
558852678441107457,music,0,
558852862164205568,music,113,<@388801706076667906> - your song `Eterna City (Day) - Pokémon Diamond/Pearl/Platinum` is now playing in `Music`!
558853130985406484,music,0,
558853258504830978,music,0,
558853819534934036,music,112,<@388801706076667906> - your song `Best VGM 47 - Pokemon Mystery Dungeon - Sky Tower` is now playing in `Music`!
558854017921318922,music,0,
558854137777750016,music,0,
558854138398638109,music,144,<@388801706076667906> - your song `PMD2 - Temporal Spire (REMASTERED_ Pokemon Mystery Dungeon 2 Remastering Project)` is now playing in `Music`!
558854724741234698,music,0,
558854823030816768,music,0,
558854823760494603,music,152,<@388801706076667906> - your song `PMD2 - Vast Ice Mountain Peak (REMASTERED_ Pokemon Mystery Dungeon 2 Remastering Project)` is now playing in `Music`!
558859169088667668,music,0,
558859175321534464,music,102,<@401232762553499650> - your song `Despacito 3 (Official Minecraft Parody)` is now playing in `Music`!
558859367550681113,music,0,
558859425897775115,music,0,
558859454309859339,music,0,
558859509792243712,music,0,
558860202246406145,music,76,<@401232762553499650> - your song `bitch lasagna` is now playing in `Music`!
558860767622070272,music,76,<@401232762553499650> - your song `bitch lasagna` is now playing in `Music`!
558861331709558797,music,83,<@401232762553499650> - your song `Bitch Lasagna   v1.2` is now playing in `Music`!
559038105051463680,music,113,<@!305623943031685121> - your song `Yandere Miku scissorsroid English sub【ヤンデレ】シザーロイド` is now playing in `Music`!
559039220681932831,music,77,<@!305623943031685121> - your song `Hole - Malibu` is now playing in `Music`!
559045503296339969,music,0,
559045514608246784,music,95,<@!305623943031685121> - your song `The Royal Concept - Gimme Twice` is now playing in `Music`!
559045731919331328,music,0,
559046372557586433,music,116,<@!305623943031685121> - your song `Vinyl Theatre: Breaking Up My Bones [OFFICIAL VIDEO]` is now playing in `Music`!
