ID,Author,Content Length,Content
558442772852506635,iNooVa,1,g
558442817307803688,iNooVa,6,nooo u
558454435890855947,Sucko Mode,33,I made Apple art of “Life is fun”
558465629200449537,Nintendo Stabo,0,
558465636691476480,Nintendo Stabo,0,
558465646556479516,Nintendo Stabo,0,
558465656039669762,Nintendo Stabo,0,
558465666793865217,Nintendo Stabo,0,
558465676919177236,Nintendo Stabo,0,
558465685853044758,Nintendo Stabo,0,
558465765012013057,Nintendo Stabo,0,
558465774197407765,Nintendo Stabo,0,
558465788261171211,Nintendo Stabo,0,
558766011764047874,イズアルディン,25,<@556187179206836245> hey
558766058568286219,イズアルディン,36,<@556187179206836245> are you in zhc
558768427519705088,OC.WOLF,26,<@557378271805702154>NLYeah
558814942107795458,HaltOoZz,14,made by me lul
558815006985027614,HaltOoZz,8,original
558834987084939264,Dragon • ™,0,
558994586416971798,♢CAIN♢,0,
558994588195618826,♢CAIN♢,15,Aesthetic shizz
559012988174991370,obese alex,30,@everyone good work in the art
559022479209660419,♢CAIN♢,55,<@530235596967247885><:immaputinher:553638158810611713>
559051372155371547,Darkliv,8,PraiseIt
559111275301306389,Pewdiepie,7,Hi guys
559111447129620490,Pewdiepie,3,Bye
559111548254289920,OC.WOLF,0,
560645728351813632,Fluffen,0,
