ID,Content Length,Content
559049059038658580,66,I have bruh that’s kinda cringe in my auto correct for some reason
559049442850766858,147,hey uhh <@323773408586498049> random thing to say and I’m not sure if your aware or not_ but I’ll tell you since you have a re:zero profile picture
559049461150515229,28,Rezero is getting a season 2
559049570244362240,15,your face sucks
559049584706322442,9,nerd neck
559049743880290309,4,vore
559049874662752275,1,😃
559050417779245067,0,
559050948375347200,81,I haven’t played Minecraft in a year_ but when I did I played bedwars and skyward
559050971876032561,20,And some other stuff
559051059033669634,36,You don’t even know what skywars is?
559051114096492570,38,I don’t like vanilla creative/survival
559051137161101312,23,I like with mods better
559051184950870055,22,Ok my opinion is wrong
559051189484781598,4,Cool
559051256094654468,57,I guess I do like those things but my mind says otherwise
559051272632664081,3,hmm
559051370548822107,28,https://youtu.be/zyqAyAzN9zk
559051443391430658,22,original Johnny Johnny
559051473804197922,21,skywars is pretty old
559051942790168587,28,Sky factory 3 is my favorite
559051971114303491,24,I also played blightfall
559052122876805120,0,
559052599249338399,21,Ha ha get on my level
559052618404593725,21,Totally the same game
559052741478055937,46,Bruh it’s Minecraft what are you talking about
559052798663065601,47,I think you you guys are reading it incorrectly
559052981647966208,0,
559053068235178035,0,
559055945850814488,16,too much of both
559057038311948288,19,Karma to US dollars
