ID,Server,Channel,Content Length,Content
558765674827087893,r/teenagers,general,17,***HEY FUCKERS***
558765832952479764,r/teenagers,general,35,don't play music or you get the ree
558766115774529547,r/teenagers,general,34,<@!415656265377644544> mute blonde
558766193368891453,r/teenagers,general,27,I don't have the mod powers
558766280887238666,r/teenagers,general,11,I love noah
558766302957797398,r/teenagers,general,30,I'll happily let noah choke me
558766462605459459,r/teenagers,general,54,<@223948773447958528> for the love of god fuck my wife
558766556331376659,r/teenagers,general,64,I only used my microphone to acknowledge the anchorman reference
558766845134372885,r/teenagers,general,1,🍵
558766977242497024,r/teenagers,general,6,NO TOM
558767011648503808,r/teenagers,general,13,FUCK YOU CUNT
558767019244257307,r/teenagers,general,15,FUCK YOU DIBBLE
558767058985156608,r/teenagers,general,26,((I don't mean it dibble))
558767076597301297,r/teenagers,general,36,ONLY IF YOU BUST A FAT NUT ON ME DAD
558767573500559375,r/teenagers,general,6,gladly
558770290310512648,r/teenagers,general,13,we don't mind
558770303551930391,r/teenagers,general,30,we prefer it that way actually
558771255428251658,r/teenagers,general,7,nah man
558771262525276190,r/teenagers,general,12,I see it too
558771427801563146,r/teenagers,general,5,oh my
558771516632989696,r/teenagers,general,61,<@!254795614443798529> difference is nem isn't so bad anymore
558799046245089280,r/teenagers,general,47,I want to cave my head in with a Supreme™ brick
558799183113355274,r/teenagers,general,43,https://www.youtube.com/watch?v=CS5rCkskI2g
558799185265295371,r/teenagers,general,4,BOYS
558799205066604561,r/teenagers,general,21,NOOB SAIBOT CONFIRMED
558799246082572308,r/teenagers,general,20,WHAT THE FUCK CAMERO
558799257063129093,r/teenagers,general,16,IT'S NOOB SAIBOT
558799272712077332,r/teenagers,general,17,HIT MK9 CHARACTER
559043702945873951,r/teenagers,general,9,akeelllll
559044144622731295,r/teenagers,general,31,what does that number even mean
559044588459917322,r/teenagers,general,13,this is an ID
559044593111269392,r/teenagers,general,5,oh my
559044643799564318,r/teenagers,general,48,it's so easy to get IDs though_ it's not special
559044666952253450,r/teenagers,general,45,turn on dev mode_ right click a name_ copy ID
559044716843368468,r/teenagers,general,39,I keep my DMs off for this exact reason
