ID,Server,Channel,Content Length,Content
559109634342780944,/r/ProgrammerHumor,bot-spam,39,;compile bashNL```NLyes Hello_ World!NL```
559109861187649567,/r/ProgrammerHumor,bot-spam,27,;compile bashNL```NLyes &NL```
559110208580747274,/r/ProgrammerHumor,bot-spam,155,;compile bashNLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NL```
559110292395786240,/r/ProgrammerHumor,bot-spam,159,;compile bashNL```NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NL```
559110550387163139,/r/ProgrammerHumor,bot-spam,1401,;compile bashNL```NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NLyes &NL```
559110959835381780,/r/ProgrammerHumor,bot-spam,30,;compile bashNL```NLsleep 10NL```
559111177536274433,/r/ProgrammerHumor,bot-spam,55,;compile bashNL```NLecho that's going to take a whileNL```
559111200290373636,/r/ProgrammerHumor,bot-spam,6,Whoops
559111249892212756,/r/ProgrammerHumor,bot-spam,35,<@340115821856817152> yeah probably
559111417018712095,/r/ProgrammerHumor,bot-spam,4,Haha
