ID,Channel,Content Length,Content
558755544069046272,debates,3,Yes
558755558405046282,debates,13,Next question
558755940464066671,debates,14,Rectangles ftw
558991790493925378,debates,152,And a grandma praying to an icon for the wellbeing of her family is neither political or social. of course she will see all of this as hateful and wrong
558991886698676302,debates,7,It isnt
558991908500930581,debates,20,Public will hate you
558991918445494272,debates,17,as simple as that
558991988829978668,debates,80,And when the LGBT people strive to be integrated into it_ this isnt a smart move
558992424999976961,debates,177,this is such an old news (im talking 2014s iirc) that ill have to dig. plus it wasnt even in English_ Ill try to. and the statement was "going against Christian xenophobia" iirc
558992560576528384,debates,112,And I agree with them_ Im neither a Christian nor straight_ But their action will have unfavourable consequences
558992714335649794,debates,57,I dont want to say anything false so Ill just look for it
559008311945592842,debates,7,🦀 🦀 🦀 🦀
559011454976655372,debates,67,Does anyone with a mildly functioning brain actually fall for that?
559011731167379486,debates,35,*Not really surprised Pikachu face*
559034416715005982,debates,80,Oh so its if a foreigner should integrate in a society__great__not controversial
559034583815946250,debates,41,Should they or should they not assimilate
559034738803867662,debates,90,I think they should respect and understand it_ while still remaining of their same culture
559034757095227393,debates,21,Im a live example UwU
559034919607861258,debates,46,Its the foreigner's problem_ not the country's
559034996589985833,debates,90,if they want the pros of the country_ they have to build their life arounf the same system
559035035768979535,debates,8,You dont
559035105285373965,debates,47,So dont go and complain whY isNt thE uS aRabiC?
559035153490509849,debates,33,well they're indirectly forced to
559035180451364904,debates,37,thats how cultures and countries worj
559035323888173056,debates,95,If you dont know English and complain "why dont the americans understand me" thats your problem
559035408177168387,debates,28,Well whats the core argument
559035443237224491,debates,44,Why was learning english in the us relevant?
559035460140269598,debates,24,why did you bring it up?
559035556026253322,debates,32,I just piggiebacked of her point
559035574258761747,debates,26,<@261177081600147457> and?
559035593388982299,debates,29,thats the foreigner's problem
559035645058875392,debates,19,So whats the point?
559035992061902860,debates,4,I do
559036083246202890,debates,14,ok richie rich
559036166083444746,debates,37,And in most countries it isnt forced?
559036180281425940,debates,17,at least directly
559036396652724234,debates,16,you dont have to
559036828498395136,debates,2,oh
559038106058096660,debates,27,which is one out of million
559038166313730049,debates,44,And do they have a better life than a local?
559038168595169293,debates,2,no
559038187922522141,debates,31,theyre reaping the consequences
559038230616604673,debates,31,So its their problem_ not yours
559038271225724951,debates,3,no?
559038318113980436,debates,56,If they wanted to_ they would have learnt english by now
559038427069415425,debates,59,Youre saying that the government should force "prosperity"?
559038516957282314,debates,40,Its their free will_ whats your problem?
559038597962137611,debates,82,As a Nationalist_ im telling you_ that they dont have to learn the native language
559038634871750676,debates,12,ideally_ yes
559038656447381514,debates,28,But if they dont_ their loss
559038673858068510,debates,23,Thats the whole verdict
559038833501405215,debates,162,Stop caring about others successes and losses and focus on your own_ I think Jose from Belize can figure out whats best for him without the governments directives
559038910911741962,debates,7,EXACTLY
559039136191873024,debates,5,Again
559039142516752384,debates,11,not correct
559039162435502096,debates,18,You SHOULD IDEALLY
559039204508696586,debates,28,How hard is it to understand
559039230395940865,debates,43,Do you wanna VC so I can explain it to you?
559039308015599633,debates,19,Then read carefully
559039321479315457,debates,23,and dont write anything
559039333357584384,debates,4,WAIT
559039360457244682,debates,22,LET ME GIVE YOU A TLDR
559039403050270743,debates,21,EVERYONE STOP WRITING
559039455940575243,debates,4,SIGH
559039477272674315,debates,6,Oh wow
559039497564717057,debates,18,Who are you again?
559039552208109578,debates,2,So
559039567962046476,debates,19,Ill put this simply
559039941301239808,debates,488,It is in the best interest of a foreigner to learn the local language_ as it will make their lives easier: they would be able to explain to a local cashier that he wants 2 kilograms of corn flower and not 2 cucumbers for example. The process is for their ultimate good. But if they don't learn it_ that is their own problem. They have the prerogative to do as they wish-try to assimilate *better*_ the key word here is better. You can still assimilate without learning the local language.
559039982661271573,debates,29,Its their liberty to learn it
559039996385034240,debates,9,Or not to
559040035584999434,debates,42,and it will either make their lives harded
559040049090527253,debates,9,or easier
559040055184850945,debates,6,period
559040094967955477,debates,47,this is the absolute fucking truth. huge PERIOD
559040117361213441,debates,3,and
559040141759610890,debates,2,NO
559040156137685003,debates,22,YOURE DOING THIS AGAIn
559040162533867561,debates,9,SCROLL UP
559040190996283462,debates,26,<@!378627967435145219> yes
559040205328220160,debates,15,thast the point
559040215813980170,debates,12,we're making
559040303194046487,debates,27,Yes THATS THE FUCKING POINT
559040316766814208,debates,14,JESUS H CHRIST
559040336874307587,debates,25,<@!378627967435145219> no
559040411340111872,debates,58,Okay I'll type my final wall of text and shut the frink up
559044728574705667,debates,12,Trump is meh
559044737294925824,debates,17,I like him for me
559044746429988870,debates,14,not for the US
559044858375831561,debates,36,trump can also be good on int policy
559044864399114251,debates,12,see_ Georgia
559044946284511255,debates,4,true
559045137032937517,debates,22,its double sided dudes
559045180582526976,debates,341,<https://www.washingtonpost.com/opinions/the-10-best-things-trump-has-done-in-2018/2018/12/31/a2de64b6-0d1b-11e9-84fc-d58c33d6c8c7_story.html?noredirect=on&utm_term=.fd4e6a4b6b61> <https://www.washingtonpost.com/opinions/the-10-worst-things-trump-did-in-2018/2019/01/02/f4025456-0eb0-11e9-84fc-d58c33d6c8c7_story.html?utm_term=.2c17c5e70f48>
559045196872941578,debates,7,10 best
559045203672170498,debates,8,10 worst
559045208017338383,debates,4,2018
559045377781661707,debates,35,<@261177081600147457> doesnt matter
559045388619743266,debates,15,Go and check it
559045408823705612,debates,26,Debunk anything if you can
559045463043473429,debates,14,ur problem uwu
559045592421105685,debates,19,playing no sides is
559045595625553955,debates,3,UWU
559045722956234752,debates,9,>Opinions
559045741872545792,debates,19,YEAH WAPO IS SO BAD
559045788458811412,debates,29,I can give you worse opinions
559045891835691069,debates,91,<@261177081600147457> That doesnt change the fact that he actually at least did *something*
559045947988901904,debates,61,the article is good things he did_ not why he is or isnt good
559046033267490827,debates,36,<@241323335470940160> shut up commie
559046105254330368,debates,30,<@261177081600147457> hell yea
559046129363451949,debates,16,Environmentalist
559046235869413376,debates,25,oRanG mAn bAd giB uPvOtEs
559048841161211920,debates,25,NKs use human faeces lmao
559048970299506698,debates,4,WOAh
559048986388987936,debates,25,and It once again will be
559049033813852171,debates,53,maybe the north koreans are smarter than us after all
559049069066977280,debates,12,ok Biblicuck
559049073806671892,debates,3,uwu
559049215477809156,debates,77,<@!378627967435145219> not really relevant <:yeehawturtle:514047042008645642>
559049262042972169,debates,20,It'll show though dw
559049274575290386,debates,15,Ill bring it up
559049389835026442,debates,60,Well yeah but they could be lying <:nice:473030100942585867>
559049472282329099,debates,19,meh_ mixed emotions
559049507241852928,debates,23,its not white and black
559049551051227166,debates,38,its a "yes_ if" and a "no_ but" answer
559049628188803073,debates,3,no?
559049661902618634,debates,40,literally half Indians dont have toilets
559049790042800150,debates,52,<https://www.bbc.com/news/world-asia-india-17362837>
559049824750796809,debates,42,<@!378627967435145219> not every household
559049850868727828,debates,23,its not a snappy answer
559049860146397194,debates,9,as I said
559049877418541056,debates,38,its a "yes_ if" and a "no_ but" answer
559049978203602945,debates,75,So you cant claim ```some places are already 1st world status down there```
559050074454360065,debates,38,<@!214753042904514560> Pakistan is too
559050142162878464,debates,55,Have you seen the outskirts and north eastern bagalore?
559050223373123587,debates,4,dont
559050327555440672,debates,46,you cant say "70% of Bangalore is first world"
559050359859839007,debates,49,its a single city_ single administrative division
559050499232497675,debates,19,Yes_ it probably is
559051350839787551,debates,17,Which coming war?
559051819519574046,debates,27,They already do that though
559051840499613696,debates,19,Literally every day
559051915535581185,debates,34,And what do you think will happen?
559052293165809677,debates,63,I think they'll continue fighting indirectly_ like they do now.
559052403618611210,debates,9,Ill sleep
559052420156489728,debates,17,15mins is nothing
559052440239079425,debates,4,EPIC
559052695676125198,debates,38,I think all of us are fucked basically
559052848026091571,debates,50,You can be living on the border of the state hMmMm
559052956679274551,debates,26,<:Fkey:375406826109534219>
559053027177136140,debates,30,I want a Zombie apocalypse tbh
559053048509628441,debates,14,GAMERS RISE UP
559053150355587080,debates,50,"my kinda tango" now is my second favourite phrase
559053301468102656,debates,14,oh no_ its fun
559053308451487765,debates,14,you get to die
559053443130458133,debates,26,im vert sorry to hear that
559053673855057920,debates,26,its like an ascended fever
559053913408536586,debates,54,When I become the president of the world I'll ban "^"s
559053968781869058,debates,28,<:wheeze:468319611595653120>
559054237833625607,debates,40,<@!325983451331166208> not if I dont die
559058251266785323,debates,53,I'm too afraid to ask but frink it_ whats the debate?
559058334649417789,debates,44,I never understood the concept of incels tbh
559060211776749583,debates,31,Incels🤝celibate Christian monks
559060287249186818,debates,12,Sounds tough
559060436587249664,debates,47,Wait being an incel isn't a mental issue is it?
559060501003239445,debates,17,So a mental issue
559060664606261289,debates,62,<@212217794639560704>just like most minority/fringe viewpoints
559060786216042526,debates,11,Makes sense
559061046719938590,debates,11,Sad attempt
559063408972922891,debates,33,supply side is a set of policies?
559063436550471690,debates,22,"supply side policies"
559063461296996352,debates,23,Its not about SS and DD
