ID,Content Length,Content
558778871571283979,63,<@!183377229097598977> 3 on tech(hot dog time) 2 on agriculture
558779797623406598,43,<@!523930253769572373> MCDOGALDS TIME🌭🌭🌭🤠🤠🤠
558779986052382763,50,Next time we get points I’m setting up a few carts
558780769867137036,0,
558802890697736194,22,<@!523930253769572373>
559054631804600330,18,Duck he has awaken
559062673476550716,6,Geshoa
559112657962008576,28,Albania will take over world
559112682289102859,23,Fuck yup stupid Turkish
559112718414774275,14,Fuck yuo Serbs
560622224109993995,3,wtf
560622258431721482,23,I’m kinda concerned ngl
560622385422794777,15,yeah that’s why
560622426124451846,39,Now I know not to get on their bad side
560622872507187211,18,He has no supplies
